"species_common","mean_pi","mean_het","mean_roh","mean_F","pi_z","het_z","roh_z","F_z","genomic_risk_index"
"ʻAlalā",0.000762346153846154,0.000904076923076923,25.2311538461538,0.237192307692308,1.02650241728957,1.00476698764767,1.31473438322954,1.19984260950592,4.5458463976727
"Maui parrotbill",0.00113803125,0.0012688125,14.1803125,0.162875,0.664060689846215,0.679350584551773,0.232901631529521,0.441525974165961,2.01783888009347
"Hawaiʻi ʻamakihi",0.00250004761904762,0.0027102380952381,4.90904761904762,0.0485714285714286,-0.649942901612723,-0.606686649572144,-0.674717768996148,-0.724801256792474,-2.65614857697349
"Christmas shearwater",0.002905,0.00323786111111111,2.88444444444444,0.0297777777777778,-1.04062020552306,-1.0774309226273,-0.87291824576291,-0.91656732687941,-3.90753670079269
