"species","species_common","n","mean_pi","sd_pi","mean_heterozygosity","sd_heterozygosity","mean_roh","sd_roh","mean_F","sd_F"
"Chlorodrepanis virens","Hawaiʻi ʻamakihi",21,0.00250004761904762,0.000423420650912361,0.0027102380952381,0.00035478964257175,4.90904761904762,1.81167299687859,0.0485714285714286,0.0220398988849119
"Corvus hawaiiensis","ʻAlalā",26,0.000762346153846154,0.00021677637183193,0.000904076923076923,0.000225175295816734,25.2311538461538,4.52401885665661,0.237192307692308,0.0536969416118045
"Pseudonestor xanthophrys","Maui parrotbill",32,0.00113803125,0.00033706402994425,0.0012688125,0.000364070308479185,14.1803125,4.83576159687119,0.162875,0.0313685171942784
"Puffinus nativitatis","Christmas shearwater",36,0.002905,0.000543462339344424,0.00323786111111111,0.000496442783512448,2.88444444444444,0.796798753744165,0.0297777777777778,0.00876718267538051
